LOINC_NUM	SYSTEM	SCALE_TYP	SOURCE	SURVEY_QUEST_SRC	UNITSREQUIRED	SHORTNAME	EXAMPLE_UCUM_UNITS
10003-2	Heart	Qn	CH		Y	R wave dur L-III	
10004-0	Heart	Qn	CH		Y	R wave dur L-V1	
10005-7	Heart	Qn	CH		Y	R wave dur L-V2	
10006-5	Heart	Qn	CH		Y	R wave dur L-V3	
10007-3	Heart	Qn	CH		Y	R wave dur L-V4	
10008-1	Heart	Qn	CH		Y	R wave dur L-V5	
1000-9	Ser/Plas^BPU	Ord	FS			DBG Ab SerPl BPU Ql	
10009-9	Heart	Qn	CH		Y	R wave dur L-V6	
10010-7	Heart	Qn	CH		Y	R' wave Amp L-AVF	
10011-5	Heart	Qn	CH		Y	R' wave Amp L-AVL	
10012-3	Heart	Qn	CH		Y	R' wave Amp L-AVR	
10013-1	Heart	Qn	CH		Y	R' wave Amp L-I	
10014-9	Heart	Qn	CH		Y	R' wave Amp L-II	
10015-6	Heart	Qn	CH		Y	R' wave Amp L-III	
10105-5	Heart	Qn	CC		Y	ST Slope L-V6	
10158-4	^Patient	Nar	CC			Functional status Hx Reported	
10159-2	^Patient	Nar	CC			Industrial exposure Hx Reported	
101-6	Isolate	OrdQn	SH			Cefoperazone Islt KB	
10160-0	^Patient	Nar	CC			Medication use Hx Reported	
10161-8	^Patient	Nar	CC			Occupational exposure Hx Reported	
10162-6	Reproductive system	Nar	CC			Pregnancies Hx Reported	
10163-4	Reproductive system	Nom	CC			Pregnancies Hx Reported	
10164-2	^Patient	Nar	CC			Present illness Hx Reported	
1016-5	Ser/Plas^BPU	Ord	FS			E Ab SerPl BPU Ql	
10165-9	^Patient	Nar	CC			Psych symptoms & diseases Hx Reported	
10166-7	^Patient	Nar	CC			Social function Hx Reported	
10167-5	^Patient	Nar	CC			Surgical procedures Hx Reported	
10168-3	Cardiovascular system	Nar	CC			Hx of CVS disorders	
10169-1	Ear	Nar	CC			Hx of Ear disorders	
10170-9	Endocrine system	Nar	CC			Hx of Endocrine disorders	
10171-7	Eyes	Nar	CC			Hx of Eyes disorders	
10172-5	Hematologic system	Nar	CC			Hx of Hematologic disorders	
1017-3	Ser/Plas^donor	Ord	FS			E Ab SerPl Donr Ql	
10173-3	Musculoskeletal system	Nar	CC			Hx of Musculoskeletal disorders	
10174-1	Nose	Nar	CC			Hx of Nose disorders	
10175-8	Oral cavity	Nar	CC			Hx of Oral cavity disorders	
10176-6	Reproductive system	Nar	CC			Hx of Reproductive disorders	
10177-4	Respiratory system	Nar	CC			Hx of Respiratory disorders	
10178-2	Skin	Nar	CC			Hx of Skin disorders	
10179-0	Throat+Neck	Nar	CC			Hx of Throat+Neck disorders	
10180-8	Throat+Neck	Nom	CC			Hx of Throat+Neck disorders	
1018-1	Ser/Plas	Ord	FS			E Ab SerPl Ql	
10361-4	Ser	Qn	QST		Y	ssDNA IgM Ser-aCnc	
10362-2	Ser	Ord	QST			Endomysium IgA Ser Ql	
1036-3	Ser/Plas^BPU	Ord	FS			G Ab SerPl BPU Ql	
10363-0	XXX	Ord	QST			Barbiturates XXX Ql	
10364-8	Hair	Qn	QST		Y	Cotinine Hair-mCnt	
10365-5	Ser/Plas	Qn	QST		Y	Cotinine SerPl-mCnc	ng/mL
10366-3	Urine	Qn	QST		Y	Cotinine Ur-mCnc	ng/mL
10367-1	Gast fld	Qn	QST		Y	Ethanol Gast-mCnc	mg/dL
10383-8	RBC^donor	Ord	CBB			"A,B Var NOS Ag RBC Donr Ql"	
10384-6	RBC	Ord	CBB			"A,B Var NOS Ag RBC Ql"	
10385-3	^Patient	Qn	CBB			Albumin Conc Gvn	
10386-1	^Patient	Qn	CBB		Y	Albumin Gvn Vol	mL
10387-9	^Patient	Qn	CBB		Y	Autol RBC Gvn Vol	mL
10388-7	^Patient	Qn	CBB		Y	Autol Bld Gvn Vol	
1038-9	Ser/Plas	Ord	FS			G Ab SerPl Ql	
10389-5	^BPU	Nom	CBB			Other Bld Prod BPU	
1086-8	Ser/Plas^donor	Ord	FS			Js sup(b) Ab SerPl Donr Ql	
10868-8	Isolate	OrdQn	QST			Bacitracin Islt KB	
10869-6	Bld	Qn	QST		Y	Xylose 3H p 25 g Xyl PO Bld-mCnc	mg/dL
10870-4	Bld	Qn	QST		Y	Xylose 4H p 25 g Xyl PO Bld-mCnc	
10871-2	Bld	Qn	QST		Y	Xylose 5H p 25 g Xyl PO Bld-mCnc	
10872-0	Bld	Qn	QST		Y	Xylose BS Bld-mCnc	
10873-8	Urine	Qn	QST		Y	B2 Microglob 24H Ur-mRate	
10874-6	Plas	Qn	QST		Y	Bombesin Plas-mCnc	pg/mL
10875-3	Urine	Qn	QST		Y	Carn esters Ur-mCnc	
1087-6	Ser/Plas	Ord	FS			Js sup(b) Ab SerPl Ql	
10876-1	Ser/Plas	Qn	QST		Y	Carn esters SerPl-mCnc	
10877-9	Urine	Qn	QST		Y	Carnitine Free Ur-mCnc	
10878-7	Ser/Plas	Qn	QST		Y	PB Iodine SerPl-mCnc	ug/dL
10879-5	Urine	Qn	QST		Y	Isovalerylgly Ur-mCnc	
10880-3	Stool	Qn	QST		Y	Magnesium Stl-mCnt	mg/g
10881-1	RBC	Qn	QST		Y	Penta-CP RBC-mCnc	
10106-3	Heart	Qn	CH		Y	ST wave ED L-AVF	
10107-1	Heart	Qn	CH		Y	ST wave ED L-AVL	
1010-8	Ser/Plas^BPU	Ord	FS			Ew Ab SerPl BPU Ql	
10108-9	Heart	Qn	CH		Y	ST wave ED L-AVR	
10109-7	Heart	Qn	CH		Y	ST wave ED L-I	
10110-5	Heart	Qn	CH		Y	ST wave ED L-II	
10111-3	Heart	Qn	CH		Y	ST wave ED L-III	
10112-1	Heart	Qn	CH		Y	ST wave ED L-V1	
10368-9	BldC	Qn	QST		Y	Lead BldC-mCnc	ug/dL
10369-7	Hair	Qn	QST		Y	Opiates Hair-mCnt	
10370-5	Hair	Qn	QST		Y	PCP Hair-mCnt	
1037-1	Ser/Plas^donor	Ord	FS			G Ab SerPl Donr Ql	
10371-3	Bld	Ord	OMH			Bite cells Bld Ql Smear	
10372-1	Bld	Ord	OMH			Blister Cells Bld Ql Smear	
10373-9	Bld	Ord	OMH			Fragments Bld Ql Smear	
10374-7	Bld	Ord	OMH			Helmet Cells Bld Ql Smear	
10375-4	Bld	Ord	OMH			Irreg Cont Cells Bld Ql Smear	
10376-2	Bld	Ord	OMH			Macrocytes Oval Bld Ql Smear	
10377-0	Bld	Ord	OMH			Pencil Cells Bld Ql Smear	
10378-8	Bld	Ord	OMH			Polychromasia Bld Ql Smear	
10379-6	Bld	Ord	OMH			RBC Dual Pop Bld Ql Smear	
10380-4	Bld	Ord	OMH			Stomatocytes Bld Ql Smear	
10381-2	Bld	Ord	OMH			Targets Bld Ql Smear	
10382-0	RBC^BPU	Ord	CBB			"A,B Var NOS Ag RBC BPU Ql"	
10243-4	Vena cava.inferior	Qn	CC		Y	O2 Ct IVC-sCnc	mol/L
10244-2	Pulmonary artery.left	Qn	CC		Y	O2 Ct PA-L-sCnc	mol/L
10245-9	Pulmonary artery.main	Qn	CC		Y	O2 Ct MPA-sCnc	mol/L
10246-7	Pulmonary artery.right	Qn	CC		Y	O2 Ct PA-R-sCnc	mol/L
10247-5	Pulmonary wedge	Qn	CC		Y	O2 Ct PW-sCnc	mol/L
10248-3	Vena cava.superior	Qn	CC		Y	O2 Ct SVC-sCnc	mol/L
1024-9	Ser/Plas	Ord	FS			Fy sup(a) Ab SerPl Ql	
10249-1	Heart rate device	Nom	CC			Hrt Rate Device Inventory #	
10578-3	Semin plas	Qn	IUPAC		Y	GPC Semin plas-sCnc	mol/L
1057-9	RBC^patient	Ord	FS			Deprecated I (Int) Subtyp RBC Patient Ql	
10579-1	Semen	Qn	IUPAC		Y	WBC # Smn	10*3/uL
10580-9	Semen	Qn	IUPAC		Y	Liquefaction Time Smn	
10581-7	Spermatazoa	Qn	IUPAC		Y	# Entities Sprm	10*6
10582-5	Cvm	Qn	IUPAC			pH Cerv mucus	[pH]
10583-3	Semen	Qn	IUPAC		Y	Prostaglandin F1A Smn-sCnc	mol/L
10584-1	Smpls	Qn	IUPAC			Deprecated Prot-mCnc	g/L
10585-8	Semen	Qn	IUPAC		Y	Round Cells # Smn	10*9/L
10586-6	^Patient	Qn	IUPAC		Y	Deprecated Semen Vol Patient	mL
1058-7	Ser/Plas^BPU	Ord	FS			I Ab SerPl BPU Ql	
10587-4	^Patient	Qn	IUPAC		Y	Sex Abstin duration Time Patient	d
10588-2	Semen	Qn	IUPAC		Y	Spermatogonia # Smn	/L
10589-0	Semen	Qn	IUPAC		Y	Spermatids # Smn SAB	/L
10590-8	Semen	Qn	IUPAC		Y	Spermatids # Smn SCB	/L
10591-6	Semen	Qn	IUPAC		Y	Primary Spermatocytes # Smn	/L
10730-0	Bld	Nom	OMH			Trypanos Bld Cult	
10731-8	Bld	Nom	OMH			Trypanos Bld Thick Film	
10732-6	Bld	Nom	OMH			Trypanos Bld Thin Film	
10733-4	Bld	Nom	OMH			Trypanos Bld Wet Prep	
10734-2	Skin	Nom	OMH			VZV Skin EM	
10735-9	Ser	Nom	OMH			Viral Seq Ser Amp/Seq	
1073-6	Ser/Plas^BPU	Ord	FS			Jk sup(b) Ab SerPl BPU Ql	
10736-7	CSF	Nom	OMH			Virus CSF EM	
10737-5	Stool	Nom	OMH			Virus Stl EM	
10738-3	Tiss	Nom	OMH			Virus Tiss EM	
10739-1	XXX	Nom	OMH			Virus XXX EM	
10740-9	Bone	Nom	SH			Aluminum Bone Histomorph Stn	
10741-7	Brain	Nom	SH			AL Brain TFS Stn	
10742-5	Tiss	Nom	SH			AL Tiss Puchtler Mod Benn Stn	
10743-3	Tiss	Nom	SH			AL Tiss Highman Stn	
1074-4	Ser/Plas^donor	Ord	FS			Jk sup(b) Ab SerPl Donr Ql	
11388-6	Buttocks	Nar	DEEDS			Phys find Buttocks	
11389-4	Calf	Nar	DEEDS			Phys find Calf	
11390-2	Cardiovascular system	Nar	DEEDS			Phys find CVS	
11391-0	Chest	Nar	DEEDS			Phys find Chest	
11392-8	Chest wall	Nar	DEEDS			Phys find Chest wall	
11393-6	Ears & Nose & Mouth & Throat	Nar	DEEDS			Phys find ENMT	
11394-4	Elbow	Nar	DEEDS			Phys find Elbow	
1139-5	Ser/Plas^BPU	Ord	FS			Lu sup(ab) Ab SerPl BPU Ql	
11395-1	Extremities	Nar	DEEDS			DeprecatedPhysical findings	
10519-7	Tiss	Ord	SH;DL-M			Vimentin Ag Tiss Ql ImStn	
1052-0	Ser/Plas^BPU	Ord	FS			Deprecated I (Int) Subtyp SerPl BPU Ql	
10520-5	Tiss	Ord	SH			Fact VI Ag Tiss Ql ImStn	
10521-3	Tiss	Ord	DL-M			Fact VIII Ag Tiss Ql ImStn	
10522-1	Tiss	Ord	SH			Fact XIII Ag Tiss Ql ImStn	
10523-9	Tiss	Ord	SH			Fibrinogen Ag Tiss Ql ImStn	
10524-7	Cvx	Nom	SH			Cyto Cervix	
10525-4	XXX	Nom	SH			Cyto XXX	
10526-2	Sputum	Nom	SH			Cyto Spt	
10527-0	Tiss	Nom	SH			Cyto Tiss	
10528-8	Ser/Plas	Qn	SH		Y	Acetophenazine SerPl-mCnc	
10529-6	Ser/Plas	Qn	SH		Y	Amoxapine Metab SerPl-mCnc	
10530-4	Ser/Plas	Qn	SH		Y	Aprobarbital SerPl-mCnc	
10531-2	Ser/Plas	Qn	SH		Y	Bretylium SerPl-mCnc	
10532-0	Ser/Plas	Qn	SH		Y	Deprecated Noramiodarone SerPl-mCnc	mg/L
1066-0	RBC	Ord	FS			I NOS Ag RBC Ql	
10660-9	Tiss	Ord	SH			CMV Ag Tiss Ql ImStn	
10661-7	Water	Nom	OMH			Dinoflagelate Wat Micro	
10662-5	Bld	Nom	OMH			Filaria Bld Conc	
10663-3	Bld	Nom	OMH			Filaria Bld Thick Film	
10664-1	Bld	Nom	OMH			Filaria Bld Thin Film	
10665-8	XXX	Qn	OMH		Y	Fungus CC # XXX Envir Cult	
10666-6	Tiss	Nom	OMH			Fungus Tiss FM Stn	
10819-1	Tiss	Nom	SH			Wade Stn Tiss	
10820-9	Tiss	Nom	SH			Deprecated WS Stn Tiss	
10821-7	Tiss	Nom	SH			Deprecated Wright Gie Stn Tiss	
10822-5	Tiss	Nom	SH			Mucin Tiss Mayer Mucicarm Stn	
10823-3	Tiss	Nom	SH			MPS Tiss Hale Colloid Fe Stn	
10824-1	Tiss	Nom	SH			Myelin+BDP Tiss LFB/PAS Stn	
10825-8	Tiss	Nom	SH			Myelin+Nerves Tiss LFB/CV Stn	
10826-6	Tiss	Nom	SH			Nissel Tiss CEV Stn	
1082-7	RBC^BPU	Ord	FS			Js sup(a) Ag RBC BPU Ql	
10827-4	Tiss	Nom	SH			Reticulum Tiss Gomori Stn	
10828-2	Tiss	Nom	SH			Urate Cry Tiss de Galantha Stn	
10829-0	Ser/Plas	Qn	BARN		Y	Silicon SerPl-mCnc	
10830-8	^Patient	Nar	CC			DeprecatedSurgical operation note compli	
10113-9	Heart	Qn	CH		Y	ST wave ED L-V2	
10114-7	Heart	Qn	CH		Y	ST wave ED L-V3	
10115-4	Heart	Qn	CH		Y	ST wave ED L-V4	
1011-6	Ser/Plas^donor	Ord	FS			Ew Ab SerPl Donr Ql	
10116-2	Heart	Qn	CH		Y	ST wave ED L-V5	
10117-0	Heart	Qn	CH		Y	ST wave ED L-V6	
10118-8	Heart	Qn	CH		Y	ST wave MD L-AVF	
10119-6	Heart	Qn	CH		Y	ST wave MD L-AVL	
10120-4	Heart	Qn	CH		Y	ST wave MD L-AVR	
10121-2	Heart	Qn	CH		Y	ST wave MD L-I	
10122-0	Heart	Qn	CH		Y	ST wave MD L-II	
10123-8	Heart	Qn	CH		Y	ST wave MD L-III	
1012-4	Ser/Plas	Ord	FS			Ew Ab SerPl Ql	
10124-6	Heart	Qn	CH		Y	ST wave MD L-V1	
10125-3	Heart	Qn	CH		Y	ST wave MD L-V2	
10126-1	Heart	Qn	CH		Y	ST wave MD L-V3	
10127-9	Heart	Qn	CH		Y	ST wave MD L-V4	
10128-7	Heart	Qn	CH		Y	ST wave MD L-V5	
10129-5	Heart	Qn	CH		Y	ST wave MD L-V6	
10130-3	Heart	Qn	CH		Y	T' wave Amp L-AVF	
10131-1	Heart	Qn	CH		Y	T' wave Amp L-AVL	
1013-2	RBC^BPU	Ord	FS			Ew Ag RBC BPU Ql	
10760-7	Tiss	Nom	SH			Iron Tiss Gomori Stn	
10761-5	Tiss	Nom	SH			Iron Tiss Other Stn	
10762-3	Bld	Nom	SH			Hemosiderin Stn Bld	
10763-1	Body fld	Nom	SH			Sudan Black Stn Fld	
10764-9	Sputum	Nom	SH			Silv Stn Spt	
10765-6	Tiss	Nom	SH			AE Stn Tiss	
10766-4	Tiss	Nom	SH			AB Stn Tiss	
10767-2	Tiss	Nom	SH			Sulf-AB Stn Tiss	
10768-0	Tiss	Nom	SH			AB-PAS Stn Tiss	
1076-9	RBC^BPU	Ord	FS			Jk sup(b) Ag RBC BPU Ql	
10769-8	Tiss	Nom	SH			AR-S Stn Tiss	
10997-5	Ser/Plas	Qn	QST		Y	O-desmethylencainide SerPl-mCnc	ng/mL
10998-3	Urine	Ord	QST			Oxycodone Ur Ql	
10999-1	Ser/Plas	Qn	QST		Y	PMO SerPl-mCnc	ug/mL
11000-7	Urine	Ord	QST			Promethazine Ur Ql	
11001-5	Ser/Plas	Qn	QST		Y	PZA SerPl-mCnc	
11002-3	Urine	Ord	QST			Scopolamine Ur Ql	
11003-1	Ser/Plas	Qn	QST		Y	Ticlopidine SerPl-mCnc	
11004-9	Urine	Ord	QST			Tricyclics Ur Ql	
11005-6	Ser/Plas	Qn	QST		Y	Trimethoprim SerPl-mCnc	
11006-4	Ser	Ord	QST			B burgdor Ab Ser Ql	
1100-7	RBC^BPU	Ord	FS			Kp sup(a) Ag RBC BPU Ql	
11007-2	Urine	Qn	QST		Y	B burgdor Ag Ur-aCnc	
11107-0	Bone mar	Qn	QST		Y	Variant Lymphs NFr Mar Micro	%
11108-8	Bone mar	Qn	QST		Y	Lymphocytes NFr Mar Micro	%
11109-6	Bone mar	Qn	QST		Y	Masts NFr Mar Micro	%
11110-4	Bone mar	Qn	QST		Y	Megakaryocytes NFr Mar Micro	%
11111-2	Bone mar	Qn	QST		Y	Metamyelocytes NFr Mar Micro	%
11112-0	Bone mar	Qn	QST		Y	Monocytes NFr Mar Micro	%
11113-8	Bone mar	Qn	QST		Y	Myeloblasts NFr Mar Micro	%
1111-4	Ser/Plas^donor	Ord	FS			Le sup(a) Ab SerPl Donr Ql	
11114-6	Bone mar	Qn	QST		Y	Myelocytes NFr Mar Micro	%
11115-3	Bone mar	Qn	QST		Y	Neutrophils NFr Mar Micro	%
11116-1	Bone mar	Qn	QST		Y	Ortho Normoblasts NFr Mar Micro	%
11117-9	Bone mar	Qn	QST		Y	Imm Plasma Cells NFr Mar Micro	%
11118-7	Bone mar	Qn	QST		Y	Plasma Cells NFr Mar Micro	%
11119-5	Bone mar	Qn	QST		Y	Poly Normoblasts NFr Mar Micro	%
11120-3	Bone mar	Qn	QST		Y	Promyelocytes NFr Mar Micro	%
11121-1	Bone mar	Qn	QST		Y	Prolymphocytes NFr Mar Micro	%
1112-2	Ser/Plas	Ord	FS			Le sup(a) Ab SerPl Ql	
11122-9	Bone mar	Qn	QST		Y	Promonycytes NFr Mar Micro	%
11123-7	Bone mar	Qn	QST		Y	Deprecated Promyelocytes Fr Mar Micro	%
11124-5	Bone mar	Qn	QST		Y	Pronormoblasts NFr Mar Micro	%
11125-2	Bld	Nom	MedLog			Plat morph Bld	
11126-0	Bone mar	Nom	MedLog			Platelet Mar	
11556-8	Bld	Qn	JC		Y	pO2 Bld	mm[Hg]
11557-6	Bld	Qn	JC		Y	pCO2 Bld	mm[Hg]
11558-4	Bld	Qn	JC			pH Bld	[pH]
11559-2	Bld	Qn	JC		Y	OxyHgb MFr Bld	%
115-6	Isolate	Qn	SH		Y	Cefoxitin Islt MLC	
11568-3	Ser	Ord	KAH			PS IgG Ser Ql	
1156-9	Ser/Plas	Ord	FS			little c Ab SerPl Ql	
11569-1	Ser	Ord	KAH			PS IgM Ser Ql	
11570-9	Ser	Qn	KAH		Y	Platelet IgG Ser-aCnc	
11571-7	Ser	Qn	KAH		Y	RA Nuc Ab Ser-aCnc	
11572-5	Ser	Qn	KAH		Y	Rheumatoid fact Ser-aCnc	
11573-3	Ser	Qn	KAH		Y	RF IgM Ser-aCnc	U/mL
11574-1	Ser	Qn	KAH		Y	Deprecated Thyroperoxidase Ab Ser-aCnc	[IU]/mL
11575-8	Isolate	OrdQn	KAH			Cefmetazole Islt E-test	
11576-6	Isolate	OrdQn	KAH			Erythro+Sulf Islt E-test	
1157-7	RBC^BPU	Ord	FS			little c Ag RBC BPU Ql	
11577-4	Isolate	OrdQn	KAH			Sulfamethoxazole Islt E-test	
11578-2	Isolate	OrdQn	KAH			Sulfisoxaz Islt E-test	
11579-0	Ser/Plas	Qn	KAH		Y	TSH SerPl DL<=0.05 mIU/L-aCnc	
11580-8	Ser/Plas	Qn	KAH		Y	TSH SerPl DL<=0.005 mU/L-aCnc	
11581-6	Ser	Qn	MW		Y	EBOV Ab Ser-aCnc	
11783-8	Bowel	Qn	AMG		Y	Bowel Diam US.meas	
11784-6	Cervical canal.external os	Qn	AMG		Y	Cvx canal ext Os Diam Palpation	
11799-4	Pulmonary valve	Qn	AMG		Y	Pulm valve Diam US.meas	
118-0	Isolate+Ser	Qn	SH			Cefoxitin Titr SBT	{titer}
11800-0	Tricuspid valve^fetus	Qn	AMG		Y	Fet TV Diam US.meas	
11801-8	Tricuspid valve	Qn	AMG		Y	TV Diam US.meas	
11802-6	Heart.ventricle.left.outflow tract^fetus	Qn	AMG		Y	Fet LVOT Diam DOP	
11803-4	Heart.ventricle.left.outflow tract	Qn	AMG		Y	LVOT Diam DOP	
11804-2	Heart.ventricle.right.outflow tract^fetus	Qn	AMG		Y	Fet RVOT Diam US.meas	
11805-9	Heart.ventricle.right.outflow tract	Qn	AMG		Y	RVOT Diam US.meas	
11806-7	Pulmonary artery^fetus	Qn	BF		Y	Fet PA Diam US.meas	
11807-5	Pulmonary artery	Qn	BF		Y	PA Diam US.meas	
11808-3	Renal pelvis.left^fetus	Qn	BF		Y	Fet Renal pelvis-L Diam US.meas	
10132-9	Heart	Qn	CH		Y	T' wave Amp L-AVR	
10133-7	Heart	Qn	CH		Y	T' wave Amp L-I	
10134-5	Heart	Qn	CH		Y	T' wave Amp L-II	
10135-2	Heart	Qn	CH		Y	T' wave Amp L-III	
10136-0	Heart	Qn	CH		Y	T' wave Amp L-V1	
10137-8	Heart	Qn	CH		Y	T' wave Amp L-V2	
10138-6	Heart	Qn	CH		Y	T' wave Amp L-V3	
10139-4	Heart	Qn	CH		Y	T' wave Amp L-V4	
1014-0	RBC^donor	Ord	FS			Ew Ag RBC Donr Ql	
